email,pre,post,sex,education,study_hours
smehaffey0@creativecommons.org,485,494,Male,Bachelor's,20
dbateman1@hao12@.com,462,458,Female,Bachelor's,15
bbenham2@xrea.com,477,483,Female,Bachelor's,22
mwison@@g.co,480,488,Female,Bachelor's,21
jagostini4@wordpress.org,495,494,Female,,26
kbridgnell5@webnode.com,484,503,Female,Bachelor's,32
abotham6@usda.gov,497,501,Female,Bachelor's,38
szeal7@pinterest.com,451,457,Male,Bachelor's,17
ikidby8@who.int,452,448,Female,Bachelor's,15
jciccone9@hatena.ne.jp,478,478,Female,Bachelor's,22
njaeggia@microsoft.com,469,479,Female,Doctorate,13
sdesporteb@deviantart.com,477,471,Female,Bachelor's,20
kgoodbarc@blinklist.com,487,471,Male,Master's,21
ktrevethand@ca.gov,479,477,Male,Bachelor's,35
clamswoode@yelp..com,491,484,Female,Bachelor's,23
brisbridgef@constantcontact.com,511,513,Female,Bachelor's,34
nsanchizg@nih.gov,461,465,Male,Bachelor's,19
plovelessh@unicef.org,479,473,Female,Doctorate,15
dnoyei@ft.com,486,484,Male,Bachelor's,30
khowlingj@reuters.com,476,469,Male,Bachelor's,24
dquinetk@51.la,501,494,Male,Bachelor's,31
nmorchl@arizona.edu,432,434,Female,Bachelor's,6
estoodleym@liveinternet.ru,521,525,Female,Bachelor's,43
sstaresn@shutterfly.com,457,459,Female,Bachelor's,10
snettleo@biblegateway.com,484,492,Female,Bachelor's,29
hlennardep@zimbio.com,494,502,Male,Bachelor's,40
ptignerq@dailymotion.com,464,464,Male,Bachelor's,14
troser@ft.com,489,485,Male,Bachelor's,22
vturks!@@hugedomains.com,494,487,Male,Bachelor's,26
mcoultasst@goo.gl,490,481,Male,Bachelor's,21
inajerau@nsw.gov.au,461,463,Female,Bachelor's,11
osandlandv@irs.gov,520,518,Male,Bachelor's,34
llyfieldw@symantec.com,485,501,Female,Bachelor's,24
prydeardx@about.com,457,458,Male,Bachelor's,19
gthalmanny@gmpg.org,493,482,Female,Bachelor's,19
mantoschz@12@-reg.co.uk,481,492,Female,Bachelor's,34
aallsup10@opensource.org,489,473,Male,Bachelor's,17
mollin11@prnewswire.com,409,398,Female,Bachelor's,0
epresser12@globo.com,506,509,Female,Master's,35
scoddrington1@@printfriendly.com,483,483,Male,Bachelor's,18
jyakebovich14@purevolume.com,483,493,Male,Master's,28
dtweede15@marriott.com,471,460,Female,Bachelor's,24
cworstall16@e-recht24.de,495,486,Male,Bachelor's,17
bccomini17@archive.org,500,495,Female,Bachelor's,28
aspinelli18@imdb.com,485,482,Female,Bachelor's,25
ksneath19@instagram.com,508,497,Female,Bachelor's,32
lbellworthy1a@goo.gl,482,483,Female,Bachelor's,18
sspong1b@irs.gov,472,467,Female,Master's,13
dgotthardsf1c@blogspot.com,459,448,Female,Bachelor's,17
canstee1d@unicef.org,468,461,Female,Bachelor's,19
awarrick1e@who.int,496,505,Female,Master's,31
bsmeath1f@cargocollective.com,478,475,Female,Master's,23
jwisedale1g@blinklist.com,473,472,Female,Bachelor's,17
lgoodbur1h@posterous.com,491,497,Female,Doctorate,29
amunden1i@prlog.org,459,461,Female,Bachelor's,19
sblackesland1j@engadget.com,470,462,Male,Bachelor's,14
roxer1k@t-online.de,486,483,Female,Bachelor's,33
ldominelli1l@dropbox.com,491,487,Male,Bachelor's,27
kdron1m@marketwatch.com,490,491,Female,Bachelor's,20
rdonati1n@ycombinator..com,486,481,Female,Bachelor's,27
fmcgahy1o@wikimedia.org,490,498,Female,Bachelor's,23
thuie1p@topsy.com,507,501,Male,Bachelor's,33
lsayes1q@w@.org,464,460,Male,Bachelor's,23
bdrummond1r@auda.org.au,471,471,Female,Bachelor's,16
iadshed1s@mtv.com,504,519,Male,Bachelor's,39
efritschel1t@yellowbook.com,454,460,Male,Bachelor's,20
rbartzen1u@tamu.edu,498,501,Male,Bachelor's,33
ckarim1v@harvard.edu,446,442,Male,Bachelor's,22
ddahlbom1w@umich.edu,471,479,Female,Bachelor's,22
fclemenson1x@wikispaces.com,495,511,Male,Master's,28
abuncher1y@alexa.com,476,487,Female,Bachelor's,21
sputton1z@ed.gov,476,484,Male,Bachelor's,20
ddeverale20@nifty.com,494,499,Female,Bachelor's,28
dpetras21@macromedia.com,444,438,Male,Bachelor's,13
tmenhci22@spotify.com,481,484,Male,Bachelor's,26
esherwen2@@smh.com.au,488,493,Male,Doctorate,31
mmackain24@hostgator.com,475,473,Male,Bachelor's,21
rsandercock25@hatena.ne.jp,468,482,Female,Bachelor's,31
hcrawcour26@ocn.ne.jp,466,470,Male,Bachelor's,19
kmatovic27@prnewswire.com,489,496,Female,Bachelor's,41
sfurmonger28@abc.net.au,446,448,Male,Bachelor's,17
scheeld29@cornell.edu,488,472,Female,Master's,17
kfurzey2a@github.com,470,467,Female,Bachelor's,14
alambole2b@51.la,474,473,Female,Bachelor's,24
abaggalley2c@google.ca,494,503,Male,Bachelor's,28
nlockett2d@paypal.com,494,495,Male,Bachelor's,31
pdemaid2e@nih.gov,485,486,Male,Bachelor's,27
yselbie2f@mit.edu,483,485,Female,Bachelor's,24
schaperlin2g@foxnews.com,496,495,Male,Bachelor's,23
skrink2h@columbia.edu,518,512,Male,Bachelor's,25
stoleman2i@usa.gov,493,483,Male,Bachelor's,22
smcveighty2j@ft.com,461,463,Female,Bachelor's,23
mcruikshanks2k@japanpost.jp,438,443,Female,Doctorate,14
mwagge2l@illinois.edu,519,540,Male,Bachelor's,34
bcoomes2m@cdbaby.com,445,448,Female,Bachelor's,15
lbydaway2n@uol.com.br,504,509,Male,Bachelor's,33
dashdown2o@technorati.com,496,494,Female,Master's,23
cpeplay2p@woothemes.com,472,476,Female,Bachelor's,23
dfaloon2q@google.es,494,501,Female,Bachelor's,29
ltrlunzp@buidm.org,463,455,Male,Doctorate,10
